rank,prev_rank,name,league,off,def,spi
308,310,Willem II,Dutch Eredivisie,1.21,1.5,39.14
309,311,Derby County,English League Championship,1.01,1.27,39.04
310,312,Beijing Guoan,Chinese Super League,1.33,1.64,39.02
311,313,Fortuna Düsseldorf,German 2. Bundesliga,1.14,1.43,38.95
312,314,Paris FC,French Ligue 2,1.08,1.36,38.84
313,315,Parma,Italy Serie B,1.08,1.36,38.77
314,316,Brescia,Italy Serie B,1.08,1.36,38.73
315,317,Goiás,Brasileiro Série A,1.11,1.41,38.66
316,318,Shanghai SIPG,Chinese Super League,1.25,1.57,38.6
317,328,Juventude,Brasileiro Série A,1.04,1.33,38.36
318,320,FC Zorya Luhansk,UEFA Europa Conference League,1.1,1.41,38.34
319,321,Central Córdoba Santiago del Estero,Argentina Primera Division,1.05,1.35,38.26
320,323,Swansea City,English League Championship,1.21,1.56,38.09
321,324,Randers FC,Danish SAS-Ligaen,1.14,1.47,37.98
322,330,Vissel Kobe,Japanese J League,1.11,1.44,37.89
323,326,Fatih Karagümrük,Turkish Turkcell Super Lig,1.13,1.46,37.85
324,325,Mazatlán FC,Mexican Primera Division Torneo Apertura,1.12,1.45,37.84
325,327,Guingamp,French Ligue 2,1.18,1.53,37.77
326,306,Real Salt Lake,Major League Soccer,1.16,1.51,37.73
327,319,Toluca,Mexican Primera Division Torneo Apertura,1.25,1.62,37.64
328,329,Hartberg,Austrian T-Mobile Bundesliga,1.23,1.6,37.59
329,332,Birmingham,English League Championship,1.14,1.5,37.36
330,309,Tijuana,Mexican Primera Division Torneo Apertura,1.13,1.5,37.31
331,334,SC Paderborn,German 2. Bundesliga,1.25,1.64,37.29
332,335,WSG Swarovski Wattens,Austrian T-Mobile Bundesliga,1.4,1.82,37.28
333,336,Rosario Central,Argentina Primera Division,1.23,1.61,37.25
334,337,Kairat Almaty,UEFA Europa Conference League,1.17,1.55,37.23
335,338,Frosinone,Italy Serie B,1.19,1.58,37.06
336,308,Avaí,Brasileiro Série A,1.11,1.48,37.01
337,331,Orlando City SC,Major League Soccer,1.21,1.61,36.98
338,339,Racing Club,Argentina Primera Division,0.95,1.29,36.96
339,340,Sochaux,French Ligue 2,0.95,1.29,36.8
340,341,OH Leuven,Belgian Jupiler League,1.34,1.78,36.73
341,343,Belenenses,Portuguese Liga,1,1.36,36.69
342,344,Livingston,Scottish Premiership,1.05,1.43,36.64
343,345,Gazisehir Gaziantep,Turkish Turkcell Super Lig,1.17,1.58,36.61
344,346,Flora,UEFA Europa Conference League,1.34,1.78,36.57
345,342,Chicago Fire,Major League Soccer,1.17,1.58,36.54
346,347,Cambuur Leeuwarden,Dutch Eredivisie,1.4,1.86,36.49
347,348,KV Kortrijk,Belgian Jupiler League,1.19,1.61,36.44
348,349,FC St. Pauli,German 2. Bundesliga,1.29,1.73,36.42
349,359,BK Hacken,Swedish Allsvenskan,1.37,1.83,36.39
350,350,Hatayspor,Turkish Turkcell Super Lig,1.29,1.74,36.33
351,352,Newell's Old Boys,Argentina Primera Division,0.99,1.37,36.06
352,363,San Jose Earthquakes,Major League Soccer,1.36,1.84,36.02
353,393,FC Juárez,Mexican Primera Division Torneo Apertura,0.97,1.36,35.93
354,353,Fortuna Sittard,Dutch Eredivisie,1.29,1.76,35.92
355,354,Caen,French Ligue 2,1.07,1.48,35.86
356,355,Godoy Cruz,Argentina Primera Division,1.07,1.49,35.85
357,356,Viborg,Danish SAS-Ligaen,1.12,1.56,35.84
358,357,Gimnasia La Plata,Argentina Primera Division,0.94,1.33,35.84
359,358,FC Ufa,Russian Premier Liga,0.89,1.26,35.84
360,333,Querétaro,Mexican Primera Division Torneo Apertura,1.05,1.46,35.81
361,360,Kayserispor,Turkish Turkcell Super Lig,1.23,1.7,35.67
362,361,Hull City,English League Championship,0.96,1.36,35.67
363,362,Ascoli,Italy Serie B,0.93,1.33,35.62
364,364,Odense BK,Danish SAS-Ligaen,1.13,1.58,35.58
365,365,Cremonese,Italy Serie B,1.07,1.51,35.52
366,366,Las Palmas,Spanish Segunda Division,0.95,1.35,35.52
367,367,Dijon FCO,French Ligue 2,1.16,1.62,35.45
368,368,SK Austria Klagenfurt,Austrian T-Mobile Bundesliga,1.2,1.68,35.39
369,351,Sarpsborg,Norwegian Tippeligaen,1.35,1.87,35.31
370,371,Hibernian,Scottish Premiership,0.93,1.33,35.3
371,372,Eibar,Spanish Segunda Division,0.95,1.37,35.14
372,373,Real Oviedo,Spanish Segunda Division,0.93,1.34,35.11
373,374,Tondela,Portuguese Liga,1.08,1.54,35.11
374,375,San Lorenzo,Argentina Primera Division,0.95,1.38,35.02
375,376,Ionikos FC,Greek Super League,1.08,1.55,34.99
376,386,Charlotte FC,Major League Soccer,1.06,1.52,34.98
377,384,AIK,Swedish Allsvenskan,1.07,1.54,34.95
378,378,Holstein Kiel,German 2. Bundesliga,1.21,1.71,34.85
379,379,1. FC Heidenheim 1846,German 2. Bundesliga,1.12,1.61,34.8
380,380,FC Nordsjaelland,Danish SAS-Ligaen,1.14,1.63,34.78
381,382,FC Cartagena,Spanish Segunda Division,1.09,1.58,34.53
382,383,Aberdeen,Scottish Premiership,0.95,1.4,34.53
383,369,FC Cincinnati,Major League Soccer,1.3,1.85,34.53
384,385,Standard Liege,Belgian Jupiler League,1.01,1.49,34.41
385,405,Sporting Kansas City,Major League Soccer,1.05,1.54,34.36
386,370,Sagan Tosu,Japanese J League,1.02,1.51,34.23
387,387,Dundee Utd,Scottish Premiership,0.94,1.41,34.18
388,389,Reading,English League Championship,1.12,1.64,34.17
389,390,Karlsruher SC,German 2. Bundesliga,1.26,1.81,34.16
390,391,AC Ajaccio,French Ligue 2,0.69,1.06,34.16
391,392,Hansa Rostock,German 2. Bundesliga,1.08,1.59,34.14
392,394,Colon Santa Fe,Argentina Primera Division,0.92,1.39,33.95
393,381,Stromsgodset,Norwegian Tippeligaen,1.19,1.74,33.94
394,395,Perugia,Italy Serie B,0.83,1.28,33.87
395,396,FC Lugano,Swiss Raiffeisen Super League,1.13,1.69,33.64
396,397,Tenerife,Spanish Segunda Division,0.84,1.3,33.64
397,398,Melbourne City,Australian A-League,1.18,1.76,33.54
398,399,Sheffield Wednesday,English League One,1.12,1.68,33.52
399,400,FK Nizhny Novgorod,Russian Premier Liga,0.82,1.27,33.52
400,401,Jablonec,UEFA Europa Conference League,1.09,1.64,33.5
401,402,Platense,Argentina Primera Division,1.01,1.54,33.47
402,416,Kashiwa Reysol,Japanese J League,1.01,1.53,33.45
403,403,Amiens,French Ligue 2,0.85,1.33,33.42
404,404,Real Zaragoza,Spanish Segunda Division,0.9,1.4,33.35
405,432,Valerenga,Norwegian Tippeligaen,1.1,1.66,33.29
406,406,Rubin Kazan,Russian Premier Liga,1.07,1.62,33.27
407,407,NS Mura,UEFA Europa Conference League,1.09,1.66,33.24
408,408,Mirandes,Spanish Segunda Division,1.01,1.54,33.21
409,409,Ternana,Italy Serie B,1.23,1.83,33.11
410,410,Pisa,Italy Serie B,0.91,1.42,33.09
411,412,SD Huesca,Spanish Segunda Division,0.91,1.42,32.99
412,377,Nagoya Grampus Eight,Japanese J League,0.8,1.27,32.95
413,413,Grasshoppers Zürich,Swiss Raiffeisen Super League,1.16,1.76,32.89
414,415,Leganes,Spanish Segunda Division,0.9,1.42,32.74
415,414,Vancouver Whitecaps,Major League Soccer,1.07,1.66,32.68
416,417,Milton Keynes Dons,English League One,0.98,1.54,32.61
417,388,DC United,Major League Soccer,1.23,1.87,32.52
418,419,Hannover 96,German 2. Bundesliga,1.01,1.6,32.35
419,420,Mamelodi Sundowns,South African ABSA Premier League,0.93,1.49,32.28
420,421,Sunderland,English League One,1.01,1.6,32.23
421,422,Patronato,Argentina Primera Division,0.91,1.46,32.21
422,418,Inter Miami CF,Major League Soccer,1.08,1.7,32.06
423,423,KV Oostende,Belgian Jupiler League,1.01,1.61,32.04
424,424,Ross County,Scottish Premiership,1.07,1.69,32.04
425,425,Jahn Regensburg,German 2. Bundesliga,1.1,1.73,31.97
426,426,Giresunspor,Turkish Turkcell Super Lig,0.97,1.56,31.95
427,427,SV Ried,Austrian T-Mobile Bundesliga,1.07,1.7,31.94
428,428,Volos NFC,Greek Super League,0.97,1.56,31.92
429,429,1. FC Nürnberg,German 2. Bundesliga,1.12,1.77,31.85
430,430,Cittadella,Italy Serie B,0.71,1.21,31.83
431,433,Jiangsu Suning FC,Chinese Super League,1.06,1.7,31.67
432,434,AGF Aarhus,Danish SAS-Ligaen,0.95,1.55,31.51
433,440,Houston Dynamo,Major League Soccer,1.14,1.81,31.42
434,436,FC Sion,Swiss Raiffeisen Super League,1.16,1.86,31.26
435,437,Sarmiento,Argentina Primera Division,0.87,1.46,31.24
436,438,Toronto FC,Major League Soccer,1.18,1.88,31.2
437,439,Shandong Luneng,Chinese Super League,1.17,1.87,31.13
438,441,Avispa Fukuoka,Japanese J League,0.77,1.33,31.12
439,411,FC Tokyo,Japanese J League,0.98,1.62,31.1
440,435,IFK Norrkoping,Swedish Allsvenskan,1.05,1.73,30.99
441,442,Nimes,French Ligue 2,0.97,1.64,30.55
442,443,Motherwell,Scottish Premiership,1.01,1.69,30.55
443,469,Louisville City FC,United Soccer League,1.07,1.78,30.32
444,467,Shimizu S-Pulse,Japanese J League,1.06,1.78,30.24
445,444,Spal,Italy Serie B,0.95,1.63,30.18
446,431,IFK Goteborg,Swedish Allsvenskan,0.93,1.62,30.01
447,446,Oxford United,English League One,1.17,1.94,29.96
448,447,Como,Italy Serie B,1.04,1.77,29.96
449,448,UD Ibiza,Spanish Segunda Division,0.93,1.62,29.87
450,449,Bastia,French Ligue 2,0.77,1.4,29.71
451,450,Ipswich Town,English League One,0.77,1.41,29.62
452,451,Caykur Rizespor,Turkish Turkcell Super Lig,1.12,1.9,29.59
453,452,Servette,Swiss Raiffeisen Super League,1.15,1.94,29.59
454,453,Wigan,English League One,1.01,1.75,29.45
455,454,Burgos,Spanish Segunda Division,0.73,1.37,29.39
456,455,Portsmouth,English League One,0.98,1.72,29.35
457,466,Tampa Bay Rowdies,United Soccer League,1.04,1.81,29.24
458,458,Aalesund,Norwegian Tippeligaen,0.96,1.7,29.21
459,457,HJK Helsinki,UEFA Europa Conference League,0.89,1.61,29.07
460,459,Bolton,English League One,0.97,1.74,28.92
461,460,Peterborough United,English League Championship,1.02,1.81,28.92
462,461,Maccabi Haifa,UEFA Europa Conference League,0.79,1.48,28.84
463,456,Haugesund,Norwegian Tippeligaen,1.12,1.95,28.74
464,462,SV Zulte Waregem,Belgian Jupiler League,1.13,1.97,28.56
465,472,Shonan Bellmare,Japanese J League,0.75,1.43,28.55
466,464,SV Sandhausen,German 2. Bundesliga,0.96,1.75,28.46
467,465,Sydney FC,Australian A-League,1.1,1.95,28.38
468,468,FC Arsenal Tula,Russian Premier Liga,0.94,1.72,28.27
469,470,Asteras Tripolis,Greek Super League,0.76,1.47,28.15
470,471,SD Ponferradina,Spanish Segunda Division,0.94,1.74,28.1
471,463,Kalmar FF,Swedish Allsvenskan,0.87,1.64,28.02
472,445,Gamba Osaka,Japanese J League,0.87,1.65,28
473,473,AD Alcorcon,Spanish Segunda Division,0.78,1.51,27.86
474,474,Giannina,Greek Super League,0.74,1.47,27.83
475,475,FC Trenkwalder Admira,Austrian T-Mobile Bundesliga,0.92,1.73,27.8
476,476,Le Havre,French Ligue 2,0.79,1.54,27.74
477,477,Barnsley,English League Championship,0.88,1.68,27.63
478,478,St Mirren,Scottish Premiership,0.72,1.44,27.61
479,479,Melbourne Victory,Australian A-League,0.99,1.84,27.59
480,480,Amorebieta,Spanish Segunda Division,0.81,1.57,27.57
481,481,Grenoble,French Ligue 2,0.67,1.37,27.53
482,483,Odd BK,Norwegian Tippeligaen,0.98,1.83,27.45
483,482,Arsenal Sarandi,Argentina Primera Division,0.78,1.54,27.44
484,484,Sporting Gijón,Spanish Segunda Division,0.71,1.44,27.36
485,485,OFI Crete,Greek Super League,0.88,1.69,27.35
486,486,Lugo,Spanish Segunda Division,0.77,1.54,27.28
487,487,Atlético Tucumán,Argentina Primera Division,0.87,1.69,27.11
488,488,San Antonio FC,United Soccer League,0.91,1.75,27.08
489,490,Altay,Turkish Turkcell Super Lig,0.83,1.66,26.84
490,491,Wycombe Wanderers,English League One,0.86,1.7,26.78
491,492,Dynamo Dresden,German 2. Bundesliga,0.88,1.73,26.75
492,493,Eupen,Belgian Jupiler League,0.93,1.82,26.48
493,494,Pau,French Ligue 2,0.86,1.72,26.47
494,489,Mjallby,Swedish Allsvenskan,0.75,1.55,26.4
495,495,Cashpoint SC Rheindorf Altach,Austrian T-Mobile Bundesliga,0.84,1.69,26.39
496,497,KFCO Beerschot-Wilrijk,Belgian Jupiler League,1.01,1.95,26.25
497,498,Crotone,Italy Serie B,0.88,1.79,25.74
498,496,Kyoto Purple Sanga,Japanese J League,0.76,1.62,25.6
499,499,Dundee,Scottish Premiership,0.88,1.81,25.51
500,500,Sandefjord,Norwegian Tippeligaen,1.07,2.09,25.48
501,503,Hamarkamaratene,Norwegian Tippeligaen,0.83,1.73,25.43
502,501,Vejle,Danish SAS-Ligaen,0.89,1.85,25.19
503,502,Niort,French Ligue 2,0.7,1.55,25.18
504,504,Sonderjyske,Danish SAS-Ligaen,0.88,1.83,25.12
