rank,prev_rank,name,league,off,def,spi
608,610,Tshakhuma Tsha Madzivhandila,South African ABSA Premier League,0.22,1.69,11.18
609,611,Maritzburg Utd,South African ABSA Premier League,0.25,1.77,11.15
610,617,Monterey Bay,United Soccer League,0.47,2.28,11.03
611,612,Moroka Swallows,South African ABSA Premier League,0.32,1.97,10.94
612,613,Morecambe,English League One,0.54,2.45,10.9
613,604,Tulsa Roughnecks,United Soccer League,0.51,2.4,10.73
614,614,Newport County,English League Two,0.4,2.19,10.64
615,615,Sekhukhune United,South African ABSA Premier League,0.2,1.71,10.53
616,608,Indy Eleven,United Soccer League,0.41,2.22,10.44
617,616,Chippa United,South African ABSA Premier League,0.2,1.74,10.3
618,619,TS Galaxy,South African ABSA Premier League,0.2,1.8,9.74
619,620,Colchester United,English League Two,0.34,2.21,9.3
620,621,Doncaster Rovers,English League One,0.35,2.27,9.11
621,622,AFC Wimbledon,English League One,0.36,2.29,9.1
622,623,Bradford City,English League Two,0.28,2.12,8.76
623,618,Charleston Battery,United Soccer League,0.41,2.46,8.7
624,624,Rochdale,English League Two,0.28,2.19,8.37
625,625,Gillingham,English League One,0.2,1.98,8.31
626,626,Las Vegas Lights FC,United Soccer League,0.32,2.32,8.22
627,627,Crawley Town,English League Two,0.34,2.38,8.19
628,628,Baroka FC,South African ABSA Premier League,0.2,2.03,8
629,629,Atlanta United 2,United Soccer League,0.54,2.93,7.69
630,630,Crewe Alexandra,English League One,0.27,2.33,7.3
631,631,Harrogate Town,English League Two,0.38,2.62,7.22
632,632,Walsall,English League Two,0.2,2.21,6.87
633,633,Barrow,English League Two,0.2,2.21,6.82
634,634,Loudoun United FC,United Soccer League,0.34,2.61,6.75
635,635,Carlisle United,English League Two,0.2,2.29,6.36
636,636,Stevenage,English League Two,0.2,2.38,5.91
637,637,Hartlepool,English League Two,0.2,2.43,5.68
638,638,Oldham Athletic,English League Two,0.24,2.66,5.18
639,639,New York Red Bulls II,United Soccer League,0.2,2.63,4.78
640,640,Scunthorpe,English League Two,0.2,3.21,2.88
