Population Size: 10, Tournament Size: 6, Mutation Count: 3, Generations: 100, Best: 0.44468784227820374, Average: 0.44430449069003286, Time: 15.685929800000395
Population Size: 50, Tournament Size: 6, Mutation Count: 3, Generations: 100, Best: 0.44468784227820374, Average: 0.4363964950711939, Time: 41.72062700000015
Population Size: 100, Tournament Size: 6, Mutation Count: 3, Generations: 100, Best: 0.43866374589266155, Average: 0.41378422782037255, Time: 76.96251389999998
Population Size: 500, Tournament Size: 6, Mutation Count: 3, Generations: 100, Best: 0.4457831325301205, Average: 0.32655969331872975, Time: 359.2763374000001
Population Size: 10, Tournament Size: 3, Mutation Count: 1, Generations: 250, Best: 0.44414019715224534, Average: 0.44392113910186193, Time: 28.24586279999994
Population Size: 50, Tournament Size: 3, Mutation Count: 1, Generations: 250, Best: 0.44414019715224534, Average: 0.4376889375684556, Time: 94.92392749999999
Population Size: 100, Tournament Size: 3, Mutation Count: 1, Generations: 250, Best: 0.44359255202628695, Average: 0.4327765607886094, Time: 179.83315140000013
Population Size: 500, Tournament Size: 3, Mutation Count: 1, Generations: 250, Best: 0.44633077765607887, Average: 0.35467907995618814, Time: 893.5416630999998
Population Size: 10, Tournament Size: 6, Mutation Count: 1, Generations: 250, Best: 0.4359255202628697, Average: 0.4359255202628697, Time: 36.32629970000016
Population Size: 50, Tournament Size: 6, Mutation Count: 1, Generations: 250, Best: 0.44633077765607887, Average: 0.44520262869660465, Time: 104.9337771999999
Population Size: 100, Tournament Size: 6, Mutation Count: 1, Generations: 250, Best: 0.44687842278203727, Average: 0.44166484118291366, Time: 186.56329360000018
Population Size: 500, Tournament Size: 6, Mutation Count: 1, Generations: 250, Best: 0.44414019715224534, Average: 0.37175355969331825, Time: 873.0959124000001
Population Size: 10, Tournament Size: 3, Mutation Count: 2, Generations: 250, Best: 0.4353778751369113, Average: 0.43477546549835705, Time: 27.448779000000286
Population Size: 50, Tournament Size: 3, Mutation Count: 2, Generations: 250, Best: 0.4457831325301205, Average: 0.4440963855421687, Time: 92.52324539999972
Population Size: 100, Tournament Size: 3, Mutation Count: 2, Generations: 250, Best: 0.44414019715224534, Average: 0.4331434830230016, Time: 176.72106189999977
Population Size: 500, Tournament Size: 3, Mutation Count: 2, Generations: 250, Best: 0.4424972617743702, Average: 0.34983242059145647, Time: 869.0804006000008
Population Size: 10, Tournament Size: 6, Mutation Count: 2, Generations: 250, Best: 0.4474260679079956, Average: 0.44671412924424975, Time: 37.979946099999324
Population Size: 50, Tournament Size: 6, Mutation Count: 2, Generations: 250, Best: 0.44687842278203727, Average: 0.44428258488499445, Time: 106.50313600000027
Population Size: 100, Tournament Size: 6, Mutation Count: 2, Generations: 250, Best: 0.4457831325301205, Average: 0.44177984665936454, Time: 189.31926750000002
Population Size: 500, Tournament Size: 6, Mutation Count: 2, Generations: 250, Best: 0.44468784227820374, Average: 0.3668148959474254, Time: 875.2088126000008
Population Size: 10, Tournament Size: 3, Mutation Count: 3, Generations: 250, Best: 0.4397590361445783, Average: 0.4348849945235488, Time: 28.363500599999497
Population Size: 50, Tournament Size: 3, Mutation Count: 3, Generations: 250, Best: 0.44687842278203727, Average: 0.4414457831325302, Time: 94.3236450000004
Population Size: 100, Tournament Size: 3, Mutation Count: 3, Generations: 250, Best: 0.4452354874041621, Average: 0.43541621029572875, Time: 176.10013660000004
Population Size: 500, Tournament Size: 3, Mutation Count: 3, Generations: 250, Best: 0.4457831325301205, Average: 0.3539408543263959, Time: 866.7245714000001
Population Size: 10, Tournament Size: 6, Mutation Count: 3, Generations: 250, Best: 0.4452354874041621, Average: 0.4450711938663746, Time: 37.75598699999864
Population Size: 50, Tournament Size: 6, Mutation Count: 3, Generations: 250, Best: 0.4457831325301205, Average: 0.4422343921139103, Time: 101.55087939999976
Population Size: 100, Tournament Size: 6, Mutation Count: 3, Generations: 250, Best: 0.44633077765607887, Average: 0.43943044906900314, Time: 186.43447149999884
Population Size: 500, Tournament Size: 6, Mutation Count: 3, Generations: 250, Best: 0.44687842278203727, Average: 0.36033296823658223, Time: 877.8131679999988
Population Size: 10, Tournament Size: 3, Mutation Count: 1, Generations: 500, Best: 0.4359255202628697, Average: 0.4359255202628697, Time: 54.030619500001194
Population Size: 50, Tournament Size: 3, Mutation Count: 1, Generations: 500, Best: 0.4457831325301205, Average: 0.4448630887185102, Time: 188.28088279999974
Population Size: 100, Tournament Size: 3, Mutation Count: 1, Generations: 500, Best: 0.44633077765607887, Average: 0.44351040525739344, Time: 348.9831161000002
Population Size: 500, Tournament Size: 3, Mutation Count: 1, Generations: 500, Best: 0.44414019715224534, Average: 0.41612376779846555, Time: 1697.527445400001
Population Size: 10, Tournament Size: 6, Mutation Count: 1, Generations: 500, Best: 0.4452354874041621, Average: 0.4452354874041621, Time: 74.69132100000024
Population Size: 50, Tournament Size: 6, Mutation Count: 1, Generations: 500, Best: 0.447973713033954, Average: 0.4459145673603505, Time: 215.113221900001
Population Size: 100, Tournament Size: 6, Mutation Count: 1, Generations: 500, Best: 0.4419496166484118, Average: 0.4406626506024096, Time: 365.3359376999997
Population Size: 500, Tournament Size: 6, Mutation Count: 1, Generations: 500, Best: 0.4457831325301205, Average: 0.42842059145673506, Time: 1704.7796404
Population Size: 10, Tournament Size: 3, Mutation Count: 2, Generations: 500, Best: 0.44468784227820374, Average: 0.44392113910186193, Time: 54.19755290000103
Population Size: 50, Tournament Size: 3, Mutation Count: 2, Generations: 500, Best: 0.4474260679079956, Average: 0.4453997809419495, Time: 186.80150049999975
Population Size: 100, Tournament Size: 3, Mutation Count: 2, Generations: 500, Best: 0.4452354874041621, Average: 0.43937020810514793, Time: 347.0813608999997
Population Size: 500, Tournament Size: 3, Mutation Count: 2, Generations: 500, Best: 0.4452354874041621, Average: 0.40788718510405175, Time: 1700.6467181999997
Population Size: 10, Tournament Size: 6, Mutation Count: 2, Generations: 500, Best: 0.4457831325301205, Average: 0.4451259583789704, Time: 74.79819230000066
Population Size: 50, Tournament Size: 6, Mutation Count: 2, Generations: 500, Best: 0.4348302300109529, Average: 0.43341730558598035, Time: 201.78208639999866
Population Size: 100, Tournament Size: 6, Mutation Count: 2, Generations: 500, Best: 0.4474260679079956, Average: 0.44437020810514766, Time: 371.8336492999988
Population Size: 500, Tournament Size: 6, Mutation Count: 2, Generations: 500, Best: 0.4452354874041621, Average: 0.42758269441401914, Time: 1716.4474676999998
Population Size: 10, Tournament Size: 3, Mutation Count: 3, Generations: 500, Best: 0.4474260679079956, Average: 0.44693318729463305, Time: 57.06325339999967
Population Size: 50, Tournament Size: 3, Mutation Count: 3, Generations: 500, Best: 0.44468784227820374, Average: 0.4416538882803943, Time: 184.53354549999858
Population Size: 100, Tournament Size: 3, Mutation Count: 3, Generations: 500, Best: 0.44468784227820374, Average: 0.4376013143483024, Time: 346.1381201000004
Population Size: 500, Tournament Size: 3, Mutation Count: 3, Generations: 500, Best: 0.44687842278203727, Average: 0.4070240963855411, Time: 1704.5202754999991
Population Size: 10, Tournament Size: 6, Mutation Count: 3, Generations: 500, Best: 0.436473165388828, Average: 0.4354326396495072, Time: 73.38648750000357
Population Size: 50, Tournament Size: 6, Mutation Count: 3, Generations: 500, Best: 0.44633077765607887, Average: 0.4450054764512595, Time: 206.11870220000128
Population Size: 100, Tournament Size: 6, Mutation Count: 3, Generations: 500, Best: 0.4452354874041621, Average: 0.4420481927710844, Time: 365.2324879000007
Population Size: 500, Tournament Size: 6, Mutation Count: 3, Generations: 500, Best: 0.4474260679079956, Average: 0.4220492880613356, Time: 1715.1584215000003
